,user,es,is,ps
115,0x009e92732085950040ec43bdd0e18096d6d13e3c,1,0.250000000,49.0
116,0x009ea1c1e52934090cd6a541b2c14e0a6a72a5bf,8,17.910000000,21.5
117,0x009f40fe9cfb8b954f643238c095fb91b49aaade,1,0.750000000,26.0
118,0x00a1b46319be9163b8ae30dbe506235608a563dc,1,0.500000000,59.0
119,0x00a1db6edad7f5343350700ff7ed89dce1843099,1,0.200000000,141.0
120,0x00a239a9b6772bf97ead0aaaa672f32738d804a2,4,5.609000000,26.25
121,0x00a53e3fea0109124613c5ba34c1bb2a9dbec3d7,6,10.750000000,27.333333333333332
122,0x00a839de7922491683f547a67795204763ff8237,1,0.100000000,123.0
123,0x00aaea19679f2982bdf6b666a4241f2333aaf911,1,0.100000000,159.0
124,0x00ad3529d76ef55daf301bef44186f836b049e80,1,0.222000000,109.0
125,0x00aea56c78ebb54dbf1c52520c20302aad6b7355,1,0.140000000,104.0
126,0x00b07db99d634c6aa70910781acf3a095e5d420c,1,0.050000000,103.0
127,0x00b0a8a571abe202501e933ebf601f10943cfbf8,2,2.710000000,26.0
128,0x00b32fc9b67bdb01c25965dd737d61b928670c4b,1,0.110000000,95.0
129,0x00b6f8f1ee0241075799aa7474c70304d8fa0814,2,1.200000000,71.33333333333333
130,0x00ba2b48d35573cd15a89057fc6aa79f58945c36,1,0.250000000,57.0
131,0x00bd7449d56d792993c27626a6d22cf355acf1a1,1,0E-9,184.0
132,0x00be3be13eb26aa7b088f85e1fb1b2480683c587,1,0.050000000,141.0
133,0x00bf5ec16471769882c6aa21d99fecf7a8f5d94e,2,1.300000000,101.57142857142857
134,0x00c139feefee835543e038c98c40756b50e61767,1,0.100000000,79.0
135,0x00c30bba59a663636f3eb59dbaf8e561279dfa88,24,23.209000000,43.72
136,0x00c3217f7de62f3c6c014d7203cf999b5549b6bb,1,0.100000000,86.0
137,0x00c3bbbdf206216a790ee512f49fddd1cb4eda76,2,0.950000000,48.0
138,0x00c5b979657b92994012914d52c85b75a59ad1a3,1,0.159000000,43.0
139,0x00c62fb0ed991c19edffedf58136f42d188c3cf2,1,0.250000000,66.0
140,0x00c6cd55fc8fdb9ac0fcb10ed13260672dd6db4f,1,0.900000000,40.0
141,0x00c8043ee648c8cc792adfa5aea19dd65fafbcea,1,0.090000000,90.0
142,0x00c94694de9e02c5361941f08fb916bc9745e852,1,0.250000000,57.0
143,0x00cda37bfc3dd20349aa901fe8646688218d8772,7,15.275000000,84.92857142857143
144,0x00d19ae90ad0bc9915cbf2342e415b93f5012451,1,0.100000000,116.0
145,0x00d29fbc981d05edba69bc0909e391a132271357,33,43.153000000,41.28947368421053
146,0x00d42c5e1ead53719900dd982feb346d08126aaf,2,3.000000000,30.5
147,0x00d7e4903c6d88deeb29eecd9e7e853a31c46554,1,0.250000000,57.0
148,0x00dbe6dfc86866b80c930e70111de8cf4382b824,1,0.200000000,70.0
149,0x00dc591dcf57341c6fe4ad1ecf565b50f9059c27,3,4.250000000,21.333333333333332
150,0x00dd584f690652528fcc41e3566bc4c4132d343f,1,0.250000000,57.0
151,0x00ddd913f6433a3f77b34909fdd65ed960a8959d,1,5.000000000,6.0
152,0x00dead00241aecb0c08cfd7caff36ad257a4bec6,2,0.750000000,71.0
